Part,Part #,Value,Qty.,Price,Price/Unit,Package,Device,URL
"C1, C2",GRM188F11H104ZA01,100n,2,2.5,5,1608,CAPACITOR,https://akizukidenshi.com/catalog/g/g113374/
"C4,C5",GRM188R61A226ME,22u,2,10,20,1608,CAPACITOR,https://akizukidenshi.com/catalog/g/g107922/
CN1,B5B-PH-K-S,5P,1,15,15,TH,CONNECTOR,https://akizukidenshi.com/catalog/g/g112805/
D1,OSG50603C1E,RED,1,10,10,1608,LED,https://akizukidenshi.com/catalog/g/g108275/
F1,MF-NSMF050-2,500mA,1,27.5,27.5,3216,POLYSWITCH,https://akizukidenshi.com/catalog/g/g115300/
P1,MJ179PH,4A,1,40,40,TH,DC-JACK,https://akizukidenshi.com/catalog/g/g106568/
"R1,R4",RK73B1JTTD201J,200,2,5,10,1608,RESISTER,https://www.sengoku.co.jp/mod/sgk_cart/detail.php?code=EEHD-57FZ
"R2,R3",RK73B1JTTD512J,5.1k,2,5,10,1608,RESISTER,https://www.sengoku.co.jp/mod/sgk_cart/detail.php?code=EEHD-57GS
"R5,R6",RK73B1JTTD200J,20,2,5,10,1608,RESISTER,https://www.sengoku.co.jp/mod/sgk_cart/detail.php?code=EEHD-57FC
U1,CH340E,,1,90,90,MSOP10,USB INTERFACE,https://akizukidenshi.com/catalog/g/g113543/
U2,LXDC55FAAA-203,,1,350,350,SMD,DC-DC CONVERTER,https://akizukidenshi.com/catalog/g/g109577/
U3,TLP241A,,1,140,140,DIP4,PHOTO COUPLER,https://akizukidenshi.com/catalog/g/g111516/
USB1,5077CR-16-SMC2-BK-TR,,1,110,110,SMD,USB CONNECTOR,https://akizukidenshi.com/catalog/g/g114356/
VR1,3296W-1-502LF,5k,1,120,120,TH,VARIABLE RESISTER,https://akizukidenshi.com/catalog/g/g100974/
